title,summary,description
100 water and climate projects for Africa,"Strengthening adaptation in the basins of lakes, rivers and associated aquifers through the incubation of projects in Africa","Partners of the projects are providing technical assistance to speed up the pace of development of high quality water and climate projects submitted to donors of the climate finance. It targets projects mobilizing effective adaptation measures, and in particular non-infrastructural solutions: (1) Adaptation strategy and action plan (impact / climate vulnerability study, adaptation strategy, flood/drought plan, demand management plan and water supply development, Nature-Based Solutions and other ""no-regret"" measures); (2) Capacity and knowledge building (i.e. hydro-meteorological network, Water Information System -WIS, warning system, hydroclimatic modeling); (3) Governance (legal and institutional framework, training of staff from basin organizations on climate issues, establishment/strengthening of basin committees, association with basin adaptation planning); (4) Adequate funding (sustainable financing mechanisms in line with the polluter/user pays principles and cost recovery, cost/effectiveness analysis of the planned adaptation actions). A leverage effect from 1 to 100 is expected from the modest budget required for this incubation to the budget required for project implementation. Join the initiative! You can submit project proposals, provide technical assistance or financial support!"
24/7 Carbon-Free Energy,"A global group of companies, policymakers, investors, and organizations on a mission to realize a 24/7 Carbon-Free Energy future for all: every kilowatt-hour of electricity demand with Carbon-Free Energy sources, every hour, every day, everywhere.",
4/1000 Initiative - Soils for Food Security and Climate,"Provide a supportive framework and action plan in line with the SDGs to conceptualize, implement, promote, and monitor soil health and carbon actions by 2030 through increased collaboration among AFOLU stakeholders.","The ""4 per 1000 Initiative: Soils for Food Security and Climate"" was launched at COP 21 in December 2015. The Initiative carries the vision of worldwide healthy and carbon-rich soils (especially agricultural and forest soils) to combat climate change and end hunger. It promotes the natural sequestration of organic carbon in soils, and support for the most advanced scientific research in this field, globally."
Action towards Climate-Friendly Transport (ACT),ACT Initiative is the largest global coalition aiming to catalyse transport as an enabler of sustainable development in line with the 2030 Agenda for Sustainable Development and the Paris Agreement,"At the 2019 Climate Action Summit, for the first time, over 100 organisations came together in a bold, multi-pronged commitment to accelerate the decarbonisation of transport worldwide. The coalition delivers on its goals by connecting innovative approaches with integrated, long-term planning, speeding up the deployment of electric vehicles, creating a mass market for zero-emission freight vehicles, and fostering global dialogue arenas with and among the private sector. ACT is delivering results and works through four components."
AFOLU 2040 Regional Initiative for Central America and the Dominican Republic (AFOLU 2040),"By 2030, the SICA region will restore and conserve ten million hectares of degraded lands and ecosystems, promoting sustainable and climate-adapted carbon neutrality in agriculture, forestry and other land uses by 2040.","The countries of the Central American Integration System (SICA) will take collective action to conserve forests; transition to low-carbon and resilient agriculture and livestock management; integrate sustainable practices, and develop a monitoring, reporting and verification (MRV) system including for agriculture."
African Adaptation Initiative (AAI),"Enhance action on adaptation with the aim of addressing the financing gap, and implementing measures to address disaster risk reduction and resilience needs in Africa","In launching the AAI, African Heads of State have initiated high-level pan-African and regional dialogues, adaptation action on the ground, and cross-sector processes to strengthen collaboration across Africa. The AAI will raise awareness about climate adaptation, build and strengthen capacity, support resource mobilization for implementation, promote cooperation, and track climate action progress."
Airport Carbon Accreditation,The aim of Airport Carbon Accreditation is to encourage and enable airports to implement best practices in carbon management and achieve emissions reductions,"Airport Carbon Accreditation is the only voluntary global carbon management standard for airports. The aim of Airport Carbon Accreditation is to encourage and enable airports to implement best practices in carbon management and achieve emissions reductions. Airports can participate at one of four progressively stringent levels of accreditation: 1. Mapping; 2. Reduction; 3. Optimisation; and 4. Transformation. In addition, airports at Level 3 and 4 can choose to offset their residual emissions, thereby achieving Level 3+ (Neutrality) and 4+ (Transition) respectively."
Ambitious SIDS Climate Action,Commit to the transition to renewable energy and energy efficiency targets by 2030,"A transformative SIDS Climate Action Summit package on Sustainable Energy towards a pathway of enhanced renewable energy transition targets by 2030, which is being operationalized through the SIDS Lighthouses Initiative (LHI) and coordinated by the International Renewable Energy Agency."
Assessing low-Carbon Transition (ACT),Increase the collective ambition of reducing greenhouse gas emissions in strategic economic sectors by providing a corporates climate accountability framework with sectoral methodologies to assess and support companies decarbonization strategies and associated transition plans.,"ACT provides a corporates climate accountability framework with sectoral methodologies to assess and support companies decarbonization strategies and associated transition plans. Historically developed by the French Agency for Ecological Transition in partnership with CDP and a multi stakeholders collaborative approach, ACT addresses both needs to equip the private sector to decarbonise and inform its key stakeholders to leverage. Since June 2022, ACT Initiative is hosted by the World Benchmarking Alliance."
Bonn Challenge,The Bonn Challenge is a global goal to bring 150 million hectares of degraded and deforested landscapes into restoration by 2020 and 350 million hectares by 2030,The Bonn Challenge is a global goal to bring 150 million hectares of degraded and deforested landscapes into restoration by 2020 and 350 million hectares by 2030.
